KaaS_Content_Rendering_MetaData.c(14): Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?documentID=ish_1996955-1270281-16&resultLimit=1&resultStart=0&languageCode=ko,en&countryCode=6984892597308500812593&store=udp-content-default,docstore,manualstore,sdlmanualstore&printFields=documentID,filename,name,summary,objectname,dredbname,description,title,shortestnavigationpath,categorizations,ishType,searchable,languagedocmap"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.03).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.18).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 6.96).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 6.96).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 5.11).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 5.13).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.86).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 4.10).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 7.53).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.78).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.79).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.07).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 8.99).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 9.32).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.86).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 4.15).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.81).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 5.78).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.89).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.28).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.07).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.13).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.58).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 3.29).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.48).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.90).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 1.93).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 1.75, actual time = 2.10).	[MsgId: MWAR-15995]
