ProductInfoAggregation.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=1&resultStart=0&languageCode=en&countryCode=162089707212699946554652&store=udp-content-default,docstore&product=9822172&contentTypes=How To,Product Specifications,Compatibility,Recycle,Parts,Warranty or Legal Statement,Safety and Regulatory,Product Change Notification,FAQ&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.49).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.69).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.83).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.20).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.11).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.52).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.41).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.40).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.71).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.10).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.39).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 3.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.18).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.25).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.16).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 4.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.41).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.22).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 3.07).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.83).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.73).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.72).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.03).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.29).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.09).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.23).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.44).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.19).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.76).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 3.18).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 2.00, actual time = 2.48).	[MsgId: MWAR-15995]
