kaas_DocSearchUDPES_PDP_Topics_10.c(8): Error -27760: Request "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=*&resultLimit=10&resultStart=0&countryCode=162089707212699946554652&languageCode=en&disclosureLevel=696531864679532034919979251200881,47406819852170807613486806879990,218620138892645155286800249901443,287477763180518087286275037723076,887243771386204747508092376253257&printFields=documentID,title,documenttype,renderlink,matchscore,description,contentupdatedate,language,disclosurelevel,store,docsource,documenttypedetails,topics,filename,duration&topic=175513598973950797922021312691457,727118134876361637267272859691104,467249423806096122761263497662159&store=docstore,supportagentstore,udp-content-default&product=20283135,1849478,20283137,20283132,4321223,17034112,3769715,8386448&aggregations=producttopics" failed  	[MsgId: MERR-27760]
Warning: Iteration pacing cannot be reached (pace time = 7.98, actual time = 8.05).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.33, actual time = 6.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.21, actual time = 7.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.04, actual time = 8.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.95, actual time = 7.78).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.29, actual time = 8.98).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.69, actual time = 9.90).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.18, actual time = 8.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.76, actual time = 7.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.34, actual time = 7.15).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.03, actual time = 7.14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.09, actual time = 6.75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.40, actual time = 6.75).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.10, actual time = 6.94).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.12, actual time = 6.48).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.32, actual time = 7.34).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.06, actual time = 8.17).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.67, actual time = 7.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.58, actual time = 7.01).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.60, actual time = 9.02).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.10, actual time = 8.33).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.46, actual time = 6.47).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.30, actual time = 6.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.23, actual time = 6.66).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.27, actual time = 7.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.33, actual time = 6.40).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.08, actual time = 7.23).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.77, actual time = 7.97).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.13, actual time = 6.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.88, actual time = 6.91).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.79, actual time = 6.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.46, actual time = 7.48).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.48, actual time = 7.52).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.70, actual time = 7.08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.36, actual time = 8.03).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.13, actual time = 6.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.97, actual time = 9.36).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.92, actual time = 7.69).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.35, actual time = 7.41).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.47, actual time = 7.32).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 7.58, actual time = 8.71).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.88, actual time = 9.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.68, actual time = 6.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.12, actual time = 6.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.07, actual time = 6.76).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.53, actual time = 6.80).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.11, actual time = 7.06).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 6.58, actual time = 6.71).	[MsgId: MWAR-15995]
