BatchSearch_MultipleRequest.c(10): Error -26608: HTTP Status-Code=504 (Gateway Timeout) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/issueBatch/search"  	[MsgId: MERR-26608]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.61).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.56).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.82).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.79).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.71).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.57).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.65).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.79).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.70).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.69).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.46).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.13).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.71).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.04).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.87).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.59).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.50).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 4.21).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 3.51).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.40, actual time = 5.04).	[MsgId: MWAR-15995]
