kaas_DocSearchHPES_Promotion_query.c(10): Error -26627: HTTP Status-Code=404 (Not Found) for "https://hx9ekpvvbi.execute-api.us-east-1.amazonaws.com/KaaS-ITG/v2/search?q=buy battery&resultLimit=15&resultStart=0&languageCode=en&countryCode=us&promotions=true&store=promotions&filters=products:(NONE)%20AND%20NOT%20publicationdestination:(FindMyProduct)"  	[MsgId: MERR-26627]
Warning: Iteration pacing cannot be reached (pace time = 3.85, actual time = 11.38).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.28, actual time = 10.85).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.48, actual time = 15.30).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.10, actual time = 10.96).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.78, actual time = 11.52).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.37, actual time = 4.62).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.59, actual time = 10.15).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.98, actual time = 10.12).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.64, actual time = 10.17).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.77, actual time = 9.81).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.92, actual time = 9.74).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.86, actual time = 9.64).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.97, actual time = 9.33).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.59, actual time = 7.73).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.47, actual time = 10.14).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.95, actual time = 9.73).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.59, actual time = 9.31).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.78, actual time = 7.65).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.64, actual time = 9.84).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.54, actual time = 9.09).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.15, actual time = 7.83).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.16, actual time = 8.69).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.66, actual time = 10.17).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.30, actual time = 8.42).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.32, actual time = 10.08).	[MsgId: MWAR-15995]
Warning: Iteration pacing cannot be reached (pace time = 3.57, actual time = 9.58).	[MsgId: MWAR-15995]
